measurements,state,commands,estimates,time
0.0,"[0.0, 0.0]",20.0,"[0.0, 0.0]",0.0
0.0,"[0.0, 2.0]",20.0,"[0.0, 0.0]",0.1
0.2,"[0.2, 4.0]",19.6,"[0.2, 0.0]",0.2
0.6000000000000001,"[0.6000000000000001, 5.96]",18.8,"[0.6000000000000001, 0.0]",0.30000000000000004
1.1960000000000002,"[1.1960000000000002, 7.84]",17.608,"[1.1960000000000002, 0.0]",0.4
1.9800000000000002,"[1.9800000000000002, 9.6008]",16.04,"[1.9800000000000002, 0.0]",0.5
2.94008,"[2.94008, 11.204799999999999]",14.11984,"[2.94008, 0.0]",0.6
4.06056,"[4.06056, 12.616783999999999]",11.87888,"[4.06056, 0.0]",0.7
5.3222384,"[5.3222384, 13.804672]",9.3555232,"[5.3222384, 0.0]",0.7999999999999999
6.7027056,"[6.7027056, 14.74022432]",6.5945888,"[6.7027056, 0.0]",0.8999999999999999
8.176728032,"[8.176728032, 15.3996832]",3.6465439360000005,"[8.176728032, 0.0]",0.9999999999999999
9.716696352,"[9.716696352, 15.7643375936]",0.5666072960000008,"[9.716696352, 0.0]",1.0999999999999999
11.29313011136,"[11.29313011136, 15.820998323200001]",-2.58626022272,"[11.29313011136, 0.0]",1.2
12.87522994368,"[12.87522994368, 15.562372300928]",-5.750459887360002,"[12.87522994368, 0.0]",1.3
14.431467173772802,"[14.431467173772802, 14.987326312192]",-8.862934347545604,"[14.431467173772802, 0.0]",1.4000000000000001
15.930199804992002,"[15.930199804992002, 14.10103287743744]",-11.860399609984004,"[15.930199804992002, 0.0]",1.5000000000000002
17.340303092735745,"[17.340303092735745, 12.91499291643904]",-14.68060618547149,"[17.340303092735745, 0.0]",1.6000000000000003
18.63180238437965,"[18.63180238437965, 11.446932297891891]",-17.2636047687593,"[18.63180238437965, 0.0]",1.7000000000000004
19.77649561416884,"[19.77649561416884, 9.72057182101596]",-19.55299122833768,"[19.77649561416884, 0.0]",1.8000000000000005
